route_id,platform,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,last_outcome,last_failed_at,top_error_signature
"agent-message-drag-hit-region-recvi4Os2NW8fx.spec.ts :: Agent message drag hit region (recvi4Os2NW8fx, recvi4Ph9YEy40) > agent inline action buttons stay clickable without arming message drag",windows,chat,122,98,0,0,122,15,9,15,9,24,1.0000,passed,2026-06-10T16:18:59Z,Error: expect(locator).toContainText(expected) failed
"agent-message-drag-hit-region-recvi4Os2NW8fx.spec.ts :: Agent message drag hit region (recvi4Os2NW8fx, recvi4Ph9YEy40) > agent markdown images cancel native drag while body remains non-draggable",macos,chat,148,147,1,0,148,1,1,1,1,4,0.9932,passed,2026-07-10T07:48:00Z,Error: expect(locator).toBeAttached() failed
"agent-message-drag-hit-region-recvi4Os2NW8fx.spec.ts :: Agent message drag hit region (recvi4Os2NW8fx, recvi4Ph9YEy40) > agent markdown images cancel native drag while body remains non-draggable",windows,chat,104,98,0,0,104,1,5,1,5,6,1.0000,passed,2026-07-10T07:48:00Z,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
"agent-untyped-code-block-bg.spec.ts :: Agent untyped code block background (recvi39rUnjN3b) > every fenced block renders through CodeBlock with bg-muted/50, not prose pre",macos,chat,148,147,0,0,148,0,1,0,1,1,1.0000,passed,,TimeoutError: locator.evaluate: Timeout 30000ms exceeded.
"agent-untyped-code-block-bg.spec.ts :: Agent untyped code block background (recvi39rUnjN3b) > every fenced block renders through CodeBlock with bg-muted/50, not prose pre",windows,chat,107,98,0,0,107,0,9,0,9,9,1.0000,passed,,TimeoutError: locator.evaluate: Timeout 3000ms exceeded.
app-launch.spec.ts :: App Launch > should display the main content,macos,app-shell,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
app-launch.spec.ts :: App Launch > should display the main content,windows,app-shell,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
app-launch.spec.ts :: App Launch > should have React root mounted,macos,app-shell,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
app-launch.spec.ts :: App Launch > should have React root mounted,windows,app-shell,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
app-launch.spec.ts :: App Launch > should have window with reasonable size,macos,app-shell,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
app-launch.spec.ts :: App Launch > should have window with reasonable size,windows,app-shell,100,98,0,0,100,0,2,0,2,2,1.0000,passed,,TimeoutError: page.waitForLoadState: Timeout 30000ms exceeded.
app-launch.spec.ts :: App Launch > should launch the application successfully,macos,app-shell,147,147,0,0,147,0,0,0,0,0,1.0000,passed,,
app-launch.spec.ts :: App Launch > should launch the application successfully,windows,app-shell,98,98,0,0,98,0,0,0,0,0,1.0000,passed,,
auth.spec.ts :: Authentication > app remains functional after adapter auth error,macos,app-shell,183,147,0,0,183,35,1,35,1,36,1.0000,passed,2026-06-10T21:46:04Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > app remains functional after adapter auth error,windows,app-shell,118,98,0,0,118,8,12,8,12,20,1.0000,passed,2026-04-21T07:59:19Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > auth state persists across page navigation,macos,app-shell,182,147,0,0,182,33,2,33,2,35,1.0000,passed,2026-04-23T09:10:40Z,Error: openSeededWorkspaceByName: chat-panel not found after click
